Size: 280; Len: 40; C: 1.8;     Score: 0.69
Size: 280; Len: 40; C: 2.2;     Score: 0.69
Size: 280; Len: 40; C: 2.6;     Score: 0.69
Size: 280; Len: 40; C: 3.0;     Score: 0.68
Size: 280; Len: 40; C: 3.4;     Score: 0.68
Size: 280; Len: 40; C: 3.8;     Score: 0.68
Size: 280; Len: 40; C: 4.2;     Score: 0.68
Size: 280; Len: 140; C: 0.2;     Score: 0.72
Size: 280; Len: 140; C: 0.6;     Score: 0.73
Size: 280; Len: 140; C: 1.0;     Score: 0.73
Size: 280; Len: 140; C: 1.4;     Score: 0.73
Size: 280; Len: 140; C: 1.8;     Score: 0.73
Size: 280; Len: 140; C: 2.2;     Score: 0.72
Size: 280; Len: 140; C: 2.6;     Score: 0.7
Size: 280; Len: 140; C: 3.0;     Score: 0.72
Size: 280; Len: 140; C: 3.4;     Score: 0.72
Size: 280; Len: 140; C: 3.8;     Score: 0.72
Size: 280; Len: 140; C: 4.2;     Score: 0.72
Size: 280; Len: 240; C: 0.2;     Score: 0.77
Size: 280; Len: 240; C: 0.6;     Score: 0.77
Size: 280; Len: 240; C: 1.0;     Score: 0.77
Size: 280; Len: 240; C: 1.4;     Score: 0.77
Size: 280; Len: 240; C: 1.8;     Score: 0.77
Size: 280; Len: 240; C: 2.2;     Score: 0.77
Size: 280; Len: 240; C: 2.6;     Score: 0.77
Size: 280; Len: 240; C: 3.0;     Score: 0.76
Size: 280; Len: 240; C: 3.4;     Score: 0.76
Size: 280; Len: 240; C: 3.8;     Score: 0.76
Size: 280; Len: 240; C: 4.2;     Score: 0.75
Size: 280; Len: 340; C: 0.2;     Score: 0.78
Size: 280; Len: 340; C: 0.6;     Score: 0.79
Size: 280; Len: 340; C: 1.0;     Score: 0.79
Size: 280; Len: 340; C: 1.4;     Score: 0.79
Size: 280; Len: 340; C: 1.8;     Score: 0.79
Size: 280; Len: 340; C: 2.2;     Score: 0.79
Size: 280; Len: 340; C: 2.6;     Score: 0.79
Size: 280; Len: 340; C: 3.0;     Score: 0.79
Size: 280; Len: 340; C: 3.4;     Score: 0.78
Size: 280; Len: 340; C: 3.8;     Score: 0.79
Size: 280; Len: 340; C: 4.2;     Score: 0.79
Size: 280; Len: 440; C: 0.2;     Score: 0.83
Size: 280; Len: 440; C: 0.6;     Score: 0.83
Size: 280; Len: 440; C: 1.0;     Score: 0.83
Size: 280; Len: 440; C: 1.4;     Score: 0.83
Size: 280; Len: 440; C: 1.8;     Score: 0.83
Size: 280; Len: 440; C: 2.2;     Score: 0.83
Size: 280; Len: 440; C: 2.6;     Score: 0.84
Size: 280; Len: 440; C: 3.0;     Score: 0.84
Size: 280; Len: 440; C: 3.4;     Score: 0.83
Size: 280; Len: 440; C: 3.8;     Score: 0.83
Size: 280; Len: 440; C: 4.2;     Score: 0.82
Size: 380; Len: 40; C: 0.2;     Score: 0.71
Size: 380; Len: 40; C: 0.6;     Score: 0.71
Size: 380; Len: 40; C: 1.0;     Score: 0.71
Size: 380; Len: 40; C: 1.4;     Score: 0.71
Size: 380; Len: 40; C: 1.8;     Score: 0.7
Size: 380; Len: 40; C: 2.2;     Score: 0.7
Size: 380; Len: 40; C: 2.6;     Score: 0.7
Size: 380; Len: 40; C: 3.0;     Score: 0.7
Size: 380; Len: 40; C: 3.4;     Score: 0.69
Size: 380; Len: 40; C: 3.8;     Score: 0.7
Size: 380; Len: 40; C: 4.2;     Score: 0.7
Size: 380; Len: 140; C: 0.2;     Score: 0.73
Size: 380; Len: 140; C: 0.6;     Score: 0.74
Size: 380; Len: 140; C: 1.0;     Score: 0.74
Size: 380; Len: 140; C: 1.4;     Score: 0.74
Size: 380; Len: 140; C: 1.8;     Score: 0.74
Size: 380; Len: 140; C: 2.2;     Score: 0.74
Size: 380; Len: 140; C: 2.6;     Score: 0.74
Size: 380; Len: 140; C: 3.0;     Score: 0.73
Size: 380; Len: 140; C: 3.4;     Score: 0.73
Size: 380; Len: 140; C: 3.8;     Score: 0.74
Size: 380; Len: 140; C: 4.2;     Score: 0.74
Size: 380; Len: 240; C: 0.2;     Score: 0.78
Size: 380; Len: 240; C: 0.6;     Score: 0.78
Size: 380; Len: 240; C: 1.0;     Score: 0.78
Size: 380; Len: 240; C: 1.4;     Score: 0.78
Size: 380; Len: 240; C: 1.8;     Score: 0.78
Size: 380; Len: 240; C: 2.2;     Score: 0.77
Size: 380; Len: 240; C: 2.6;     Score: 0.78
Size: 380; Len: 240; C: 3.0;     Score: 0.78
Size: 380; Len: 240; C: 3.4;     Score: 0.77
Size: 380; Len: 240; C: 3.8;     Score: 0.78
Size: 380; Len: 240; C: 4.2;     Score: 0.77
Size: 380; Len: 340; C: 0.2;     Score: 0.8
Size: 380; Len: 340; C: 0.6;     Score: 0.8
Size: 380; Len: 340; C: 1.0;     Score: 0.8
Size: 380; Len: 340; C: 1.4;     Score: 0.8
Size: 380; Len: 340; C: 1.8;     Score: 0.81
Size: 380; Len: 340; C: 2.2;     Score: 0.81
Size: 380; Len: 340; C: 2.6;     Score: 0.79
Size: 380; Len: 340; C: 3.0;     Score: 0.81
Size: 380; Len: 340; C: 3.4;     Score: 0.81
Size: 380; Len: 340; C: 3.8;     Score: 0.81
Size: 380; Len: 340; C: 4.2;     Score: 0.8
Size: 380; Len: 440; C: 0.2;     Score: 0.83
Size: 380; Len: 440; C: 0.6;     Score: 0.83
Size: 380; Len: 440; C: 1.0;     Score: 0.83
Size: 380; Len: 440; C: 1.4;     Score: 0.83
Size: 380; Len: 440; C: 1.8;     Score: 0.83
Size: 380; Len: 440; C: 2.2;     Score: 0.82
Size: 380; Len: 440; C: 2.6;     Score: 0.83
Size: 380; Len: 440; C: 3.0;     Score: 0.82
Size: 380; Len: 440; C: 3.4;     Score: 0.82
Size: 380; Len: 440; C: 3.8;     Score: 0.83
Size: 380; Len: 440; C: 4.2;     Score: 0.82
Size: 480; Len: 40; C: 0.2;     Score: 0.71
Size: 480; Len: 40; C: 0.6;     Score: 0.7
Size: 480; Len: 40; C: 1.0;     Score: 0.7
Size: 480; Len: 40; C: 1.4;     Score: 0.7
Size: 480; Len: 40; C: 1.8;     Score: 0.71
Size: 480; Len: 40; C: 2.2;     Score: 0.7
Size: 480; Len: 40; C: 2.6;     Score: 0.7
Size: 480; Len: 40; C: 3.0;     Score: 0.7
Size: 480; Len: 40; C: 3.4;     Score: 0.7
Size: 480; Len: 40; C: 3.8;     Score: 0.7
Size: 480; Len: 40; C: 4.2;     Score: 0.7
Size: 480; Len: 140; C: 0.2;     Score: 0.74
Size: 480; Len: 140; C: 0.6;     Score: 0.74
Size: 480; Len: 140; C: 1.0;     Score: 0.74
Size: 480; Len: 140; C: 1.4;     Score: 0.75
Size: 480; Len: 140; C: 1.8;     Score: 0.74
Size: 480; Len: 140; C: 2.2;     Score: 0.74
Size: 480; Len: 140; C: 2.6;     Score: 0.74
Size: 480; Len: 140; C: 3.0;     Score: 0.74
Size: 480; Len: 140; C: 3.4;     Score: 0.74
Size: 480; Len: 140; C: 3.8;     Score: 0.75
Size: 480; Len: 140; C: 4.2;     Score: 0.74
Size: 480; Len: 240; C: 0.2;     Score: 0.8
Size: 480; Len: 240; C: 0.6;     Score: 0.79
Size: 480; Len: 240; C: 1.0;     Score: 0.79
Size: 480; Len: 240; C: 1.4;     Score: 0.78
Size: 480; Len: 240; C: 1.8;     Score: 0.79
Size: 480; Len: 240; C: 2.2;     Score: 0.78
Size: 480; Len: 240; C: 2.6;     Score: 0.78
Size: 480; Len: 240; C: 3.0;     Score: 0.79
Size: 480; Len: 240; C: 3.4;     Score: 0.79
Size: 480; Len: 240; C: 3.8;     Score: 0.79
Size: 480; Len: 240; C: 4.2;     Score: 0.79
Size: 480; Len: 340; C: 0.2;     Score: 0.81
Size: 480; Len: 340; C: 0.6;     Score: 0.81
Size: 480; Len: 340; C: 1.0;     Score: 0.81
Size: 480; Len: 340; C: 1.4;     Score: 0.81
Size: 480; Len: 340; C: 1.8;     Score: 0.81
Size: 480; Len: 340; C: 2.2;     Score: 0.81
Size: 480; Len: 340; C: 2.6;     Score: 0.81
Size: 480; Len: 340; C: 3.0;     Score: 0.81
Size: 480; Len: 340; C: 3.4;     Score: 0.81
Size: 480; Len: 340; C: 3.8;     Score: 0.82
Size: 480; Len: 340; C: 4.2;     Score: 0.81
Size: 480; Len: 440; C: 0.2;     Score: 0.85
Size: 480; Len: 440; C: 0.6;     Score: 0.84
Size: 480; Len: 440; C: 1.0;     Score: 0.84
Size: 480; Len: 440; C: 1.4;     Score: 0.84
Size: 480; Len: 440; C: 1.8;     Score: 0.84
Size: 480; Len: 440; C: 2.2;     Score: 0.84
Size: 480; Len: 440; C: 2.6;     Score: 0.84
Size: 480; Len: 440; C: 3.0;     Score: 0.83
Size: 480; Len: 440; C: 3.4;     Score: 0.84
Size: 480; Len: 440; C: 3.8;     Score: 0.84
Size: 480; Len: 440; C: 4.2;     Score: 0.84
Size: 580; Len: 40; C: 0.2;     Score: 0.72
Size: 580; Len: 40; C: 0.6;     Score: 0.72
Size: 580; Len: 40; C: 1.0;     Score: 0.71
Size: 580; Len: 40; C: 1.4;     Score: 0.72
Size: 580; Len: 40; C: 1.8;     Score: 0.72
Size: 580; Len: 40; C: 2.2;     Score: 0.72
Size: 580; Len: 40; C: 2.6;     Score: 0.72
Size: 580; Len: 40; C: 3.0;     Score: 0.72
Size: 580; Len: 40; C: 3.4;     Score: 0.72
Size: 580; Len: 40; C: 3.8;     Score: 0.72
Size: 580; Len: 40; C: 4.2;     Score: 0.71
Size: 580; Len: 140; C: 0.2;     Score: 0.76
Size: 580; Len: 140; C: 0.6;     Score: 0.76
Size: 580; Len: 140; C: 1.0;     Score: 0.76
Size: 580; Len: 140; C: 1.4;     Score: 0.76
Size: 580; Len: 140; C: 1.8;     Score: 0.76
Size: 580; Len: 140; C: 2.2;     Score: 0.76
Size: 580; Len: 140; C: 2.6;     Score: 0.75
Size: 580; Len: 140; C: 3.0;     Score: 0.75
Size: 580; Len: 140; C: 3.4;     Score: 0.75
Size: 580; Len: 140; C: 3.8;     Score: 0.75
Size: 580; Len: 140; C: 4.2;     Score: 0.75
Size: 580; Len: 240; C: 0.2;     Score: 0.8
Size: 580; Len: 240; C: 0.6;     Score: 0.79
Size: 580; Len: 240; C: 1.0;     Score: 0.79
Size: 580; Len: 240; C: 1.4;     Score: 0.79
Size: 580; Len: 240; C: 1.8;     Score: 0.79
Size: 580; Len: 240; C: 2.2;     Score: 0.79
Size: 580; Len: 240; C: 2.6;     Score: 0.79
Size: 580; Len: 240; C: 3.0;     Score: 0.79
Size: 580; Len: 240; C: 3.4;     Score: 0.79
Size: 580; Len: 240; C: 3.8;     Score: 0.78
Size: 580; Len: 240; C: 4.2;     Score: 0.79
Size: 580; Len: 340; C: 0.2;     Score: 0.82
Size: 580; Len: 340; C: 0.6;     Score: 0.81
Size: 580; Len: 340; C: 1.0;     Score: 0.81
Size: 580; Len: 340; C: 1.4;     Score: 0.81
Size: 580; Len: 340; C: 1.8;     Score: 0.8
Size: 580; Len: 340; C: 2.2;     Score: 0.8
Size: 580; Len: 340; C: 2.6;     Score: 0.81
Size: 580; Len: 340; C: 3.0;     Score: 0.8
Size: 580; Len: 340; C: 3.4;     Score: 0.8
Size: 580; Len: 340; C: 3.8;     Score: 0.8
Size: 580; Len: 340; C: 4.2;     Score: 0.8
Size: 580; Len: 440; C: 0.2;     Score: 0.86
Size: 580; Len: 440; C: 0.6;     Score: 0.85
Size: 580; Len: 440; C: 1.0;     Score: 0.85
Size: 580; Len: 440; C: 1.4;     Score: 0.84
Size: 580; Len: 440; C: 1.8;     Score: 0.84
Size: 580; Len: 440; C: 2.2;     Score: 0.84
Size: 580; Len: 440; C: 2.6;     Score: 0.84
Size: 580; Len: 440; C: 3.0;     Score: 0.84
Size: 580; Len: 440; C: 3.4;     Score: 0.84
Size: 580; Len: 440; C: 3.8;     Score: 0.84
Size: 580; Len: 440; C: 4.2;     Score: 0.83
Size: 680; Len: 40; C: 0.2;     Score: 0.73
Size: 680; Len: 40; C: 0.6;     Score: 0.72
Size: 680; Len: 40; C: 1.0;     Score: 0.72
Size: 680; Len: 40; C: 1.4;     Score: 0.72
Size: 680; Len: 40; C: 1.8;     Score: 0.72
Size: 680; Len: 40; C: 2.2;     Score: 0.72
Size: 680; Len: 40; C: 2.6;     Score: 0.72
Size: 680; Len: 40; C: 3.0;     Score: 0.72
Size: 680; Len: 40; C: 3.4;     Score: 0.72
Size: 680; Len: 40; C: 3.8;     Score: 0.71
Size: 680; Len: 40; C: 4.2;     Score: 0.72
Size: 680; Len: 140; C: 0.2;     Score: 0.76
Size: 680; Len: 140; C: 0.6;     Score: 0.76
Size: 680; Len: 140; C: 1.0;     Score: 0.76
Size: 680; Len: 140; C: 1.4;     Score: 0.76
Size: 680; Len: 140; C: 1.8;     Score: 0.76
Size: 680; Len: 140; C: 2.2;     Score: 0.76
Size: 680; Len: 140; C: 2.6;     Score: 0.76
Size: 680; Len: 140; C: 3.0;     Score: 0.76
Size: 680; Len: 140; C: 3.4;     Score: 0.76
Size: 680; Len: 140; C: 3.8;     Score: 0.76
Size: 680; Len: 140; C: 4.2;     Score: 0.76
